,과목이름,교수님,평점,과제,팀플,학점 비율
221,데이터분석,변재욱,5,보통,없음,학점느님
222,데이터베이스,변재욱,5,보통,없음,학점느님
223,통계학개론,Farman ALI,5,보통,없음,학점느님
224,수치해석,Farman ALI,4.8,보통,없음,비율 채워줌
225,확률통계및프로그래밍,Maqbool Hussain,4.75,보통,없음,비율 채워줌
226,공업수학1,Maqbool Hussain,4.08,보통,없음,비율 채워줌
227,멀티미디어,Maqbool Hussain,3.4,보통,없음,비율 채워줌
228,데이터베이스,Maqbool Hussain,3,보통,보통,비율 채워줌
229,공업수학1,Muhammad Afzal,4.7,보통,없음,학점느님
230,알고리즘및실습,Muhammad Afzal,4.5,보통,없음,비율 채워줌
231,확률통계및프로그래밍,Muhammad Afzal,4,보통,없음,비율 채워줌
232,이산수학및프로그래밍,Muhammad Afzal,3.68,보통,없음,학점느님
233,선형대수및프로그래밍,Muhammad Attique,4.2,보통,없음,비율 채워줌
234,확률통계및프로그래밍,MUHAMMAD Khan,4.33,보통,없음,학점느님
235,프로그래밍,MUHAMMAD Khan,2,보통,없음,비율 채워줌
236,통계학개론,MUHAMMAD Khan,1.5,보통,없음,비율 채워줌
237,인공지능,김원일,2.5,없음,없음,비율 채워줌
238,HCI개론,김원일,2.5,보통,없음,비율 채워줌
239,컴퓨터구조,김원일,2.5,없음,없음,비율 채워줌
240,컴퓨터네트워크,김원일,2.45,없음,없음,비율 채워줌
241,지능형시스템,김원일,2.33,없음,없음,비율 채워줌
242,운영체제,김원일,2,없음,없음,비율 채워줌
243,대학생활과진로설계,노재춘,5,보통,없음,학점느님
244,Unix프로그래밍,노재춘,4.92,보통,보통,학점느님
245,컴파일러,노재춘,4.57,보통,없음,비율 채워줌
246,자료구조및실습,노재춘,4.29,보통,없음,학점느님
247,C프로그래밍및실습,노재춘,3.75,보통,없음,비율 채워줌
248,운영체제,노재춘,3.27,많음,없음,매우 깐깐함
249,네트워크프로그래밍,신동규,4.25,보통,없음,학점느님
250,문제해결및실습:JAVA,신동규,4.17,많음,없음,학점느님
251,대학생활과진로설계,신동규,3,보통,없음,학점느님
252,해석학개론2,하길찬,5,보통,없음,매우 깐깐함
253,기계학습(종합설계),하길찬,5,보통,없음,학점느님
254,선형대수학2,하길찬,5,보통,없음,비율 채워줌
255,선형대수학1,하길찬,4.56,보통,없음,비율 채워줌
256,전산수학실습,하길찬,4,많음,없음,비율 채워줌
257,해석학개론1,하길찬,3.8,보통,없음,비율 채워줌
258,미적분학및연습1,하길찬,3.5,보통,없음,비율 채워줌
259,전산수학실습1,하길찬,3.5,보통,없음,매우 깐깐함
260,졸업연구및진로2,김경중,5,없음,없음,학점느님
261,대학생활과진로설계,김경중,5,없음,없음,학점느님
262,C프로그래밍및실습,김경중,5,보통,없음,학점느님
263,K-MOOC:게임인공지능,김경중,5,없음,없음,학점느님
264,인공지능,김경중,3.5,보통,보통,비율 채워줌
265,ES-문화예술과ICT,김경중,3,보통,많음,비율 채워줌
266,전산개론-C,김경중,2.5,없음,없음,비율 채워줌
267,컴퓨터구조,김영갑,5,없음,없음,학점느님
268,대학생활과진로설계,김영갑,5,없음,없음,학점느님
269,문제해결및실습:JAVA,김영갑,4.57,보통,없음,학점느님
270,어셈블리어,김영갑,4.38,보통,없음,학점느님
271,데이터베이스보안,김영갑,3,보통,없음,비율 채워줌
272,어셈블리어,박기웅,5,많음,없음,비율 채워줌
273,임베디드시스템보안,박기웅,5,많음,보통,학점느님
274,Capstone디자인(산학협력프로젝트),박기웅,5,많음,많음,비율 채워줌
275,컴퓨터구조,박기웅,5,보통,없음,비율 채워줌
276,디지털포렌식,박기웅,4.5,보통,없음,비율 채워줌
277,오픈소스SW개론,박기웅,4,보통,보통,학점느님
278,졸업연구및진로1,송재승,5,없음,없음,학점느님
279,정보보호와보안의기초,송재승,4.67,보통,없음,학점느님
280,리눅스의기초및실습,송재승,4,보통,없음,비율 채워줌
281,오픈소스SW설계,송재승,4,보통,많음,비율 채워줌
282,운영체제,송재승,3.14,보통,없음,학점느님
283,K-MOOC:정보보호와보안의기초,송재승,2.8,많음,없음,비율 채워줌
284,고급프로그래밍입문-C,신지선,4,보통,없음,비율 채워줌
285,자료구조및실습,신지선,3.33,보통,보통,비율 채워줌
286,대학생활과진로설계,신지선,3,없음,없음,학점느님
287,알고리즘및실습,신지선,2.67,많음,없음,학점느님
288,고급프로그래밍입문-P,윤주범,5,보통,없음,학점느님
289,네트워크해킹과보안,윤주범,4,보통,없음,비율 채워줌
290,웹해킹과보안,윤주범,3.43,많음,없음,비율 채워줌
291,고급프로그래밍입문-P,윤주범,3.33,없음,없음,비율 채워줌
292,시스템해킹과보안,윤주범,3.17,보통,없음,비율 채워줌
293,인터넷보안,윤주범,3,보통,없음,비율 채워줌
294,고급프로그래밍입문-P,윤주범,3,없음,없음,학점느님
295,고급프로그래밍입문-P,윤주범,3,보통,없음,비율 채워줌
296,고급프로그래밍입문-P,윤주범,2.75,없음,없음,비율 채워줌
297,고급프로그래밍입문-P,윤주범,2.67,보통,보통,비율 채워줌
298,고급프로그래밍입문-P,윤주범,1.4,보통,없음,매우 깐깐함
299,고급프로그래밍입문-P,윤주범,1,보통,없음,매우 깐깐함
300,고급프로그래밍입문-P,윤주범,1,보통,없음,비율 채워줌
301,공개키암호론,이광수,4.58,보통,없음,학점느님
302,대칭키암호론,이광수,3.83,보통,없음,비율 채워줌
303,정수론,이광수,3.38,보통,없음,학점느님
304,C프로그래밍및실습,이광수,3,보통,없음,비율 채워줌
305,공학설계기초(산학프로젝트입문),이광수,2.65,보통,많음,비율 채워줌
306,창의SW융합노마드,이광수,2,많음,많음,학점느님
307,컴퓨터네트워크,이종혁,2.11,없음,없음,F 폭격기
308,네트워크해킹과보안,이종혁,1.5,없음,없음,매우 깐깐함
309,시스템프로그래밍,이종혁,1.4,보통,없음,매우 깐깐함
310,C프로그래밍및실습,이종혁,1,보통,없음,비율 채워줌
311,알고리즘및실습,이종혁,1,없음,없음,매우 깐깐함
312,공학설계기초,장윤,5,많음,많음,학점느님
313,데이터시각화,장윤,3,많음,보통,비율 채워줌
314,공학설계기초(산학프로젝트입문),장윤,2.96,많음,없음,학점느님
315,컴퓨터그래픽스,장윤,2.92,많음,없음,비율 채워줌
316,ES-웨어러블컴퓨터디자인,장윤,1,많음,많음,비율 채워줌
