N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
135,한화에어로스페이스,"50,100",200,-0.40%,"5,000","25,366","50,630",18.42,"525,810",9.69,4.78,
136,코오롱인더,"93,900",500,-0.53%,"5,000","25,333","26,979",21.33,"366,289",18.81,9.70,
137,하이트진로,"35,900",650,+1.84%,"5,000","25,178","70,134",4.53,"571,287",35.94,8.23,
138,현대해상,"28,150",650,+2.36%,500,"25,166","89,400",27.46,"779,510",6.52,7.13,
139,솔루스첨단소재,"81,900",500,-0.61%,100,"25,053","30,590",8.13,"435,519",-213.28,-5.10,
140,휠라홀딩스,"40,500",300,+0.75%,"1,000","24,605","60,752",47.87,"378,294",10.21,10.94,
141,현대차우,"99,900",800,+0.81%,"5,000","24,332","24,357",58.94,"38,449",7.24,N/A,
142,DB하이텍,"53,500","2,500",+4.90%,"5,000","23,753","44,399",15.84,"995,398",14.22,23.07,
143,현대위아,"86,200","2,100",-2.38%,"5,000","23,442","27,195",7.16,"462,689",23.07,1.96,
144,롯데정밀화학,"89,700",0,0.00%,"5,000","23,143","25,800",21.28,"179,461",9.44,12.65,
145,TIGER 차이나전기차SOLACTIVE,"17,850",440,+2.53%,0,"22,977","128,720",2.89,"8,417,623",N/A,N/A,
146,효성,"108,000",0,0.00%,"5,000","22,757","21,071",9.44,"51,130",14.74,-2.26,
147,한전기술,"59,100","7,200",+13.87%,200,"22,588","38,220",2.86,"2,619,825",109.24,N/A,
148,TIGER 200,"39,460",415,+1.06%,0,"21,466","54,400",0.00,"430,561",N/A,N/A,
149,KODEX 단기채권,"102,965",5,0.00%,0,"21,277","20,664",0.00,"10,120",N/A,N/A,
150,LS,"65,300",400,+0.62%,"5,000","21,027","32,200",14.16,"88,376",8.47,3.94,
151,영원무역,"46,200",350,+0.76%,500,"20,472","44,311",27.33,"173,810",10.93,8.03,
152,대한전선,"2,390",65,+2.80%,500,"20,470","856,473",1.95,"12,024,683",-125.79,0.92,
153,후성,"21,650",550,-2.48%,500,"20,049","92,607",5.53,"4,213,343",200.46,2.79,
154,KODEX 200선물인버스2X,"2,245",50,-2.18%,0,"19,906","886,700",5.62,"187,196,187",N/A,N/A,
155,현대백화점,"84,100",700,+0.84%,"5,000","19,681","23,402",19.38,"87,015",15.19,1.65,
156,현대엘리베이,"48,150",700,+1.48%,"5,000","19,653","40,815",26.63,"175,683",20.39,9.78,
157,LS ELECTRIC,"64,900",500,+0.78%,"5,000","19,470","30,000",18.35,"68,701",21.22,6.15,
158,KODEX 레버리지,"23,535",485,+2.10%,0,"19,299","82,000",2.40,"19,143,272",N/A,N/A,
159,대웅,"32,850",50,+0.15%,500,"19,100","58,142",3.94,"99,829",20.32,15.10,
160,한전KPS,"41,550","1,150",+2.85%,200,"18,698","45,000",8.33,"842,141",19.14,8.23,
161,KODEX 단기채권PLUS,"103,275",5,0.00%,0,"18,504","17,917",0.00,"2,522,411",N/A,N/A,
162,오뚜기,"489,000","5,000",+1.03%,"5,000","17,956","3,672",12.49,"4,251",20.45,7.93,
163,농심,"292,000",0,0.00%,"5,000","17,761","6,083",12.90,"10,900",16.03,7.50,
164,아시아나항공,"23,750",100,+0.42%,"5,000","17,673","74,412",8.98,"1,194,484",-25.82,-43.83,
165,동국제강,"18,500",0,0.00%,"5,000","17,655","95,433",23.30,"501,232",6.02,3.35,
166,KODEX 삼성그룹,"9,840",180,+1.86%,0,"17,623","179,100",0.25,"414,906",N/A,N/A,
167,HDC현대산업개발,"26,400",100,+0.38%,"5,000","17,400","65,907",10.89,"250,969",9.43,8.85,
168,JB금융지주,"8,800",240,+2.80%,"5,000","17,334","196,983",40.53,"415,399",3.82,10.06,
169,한국앤컴퍼니,"17,800",300,+1.71%,500,"16,898","94,935",9.85,"224,609",6.81,5.08,
170,DGB금융지주,"9,960",240,+2.47%,"5,000","16,847","169,146",50.32,"488,557",3.95,6.93,
171,두산,"99,200","1,000",+1.02%,"5,000","16,392","16,524",10.91,"66,479",-162.36,-34.34,
172,금호타이어,"5,690",30,-0.52%,"5,000","16,345","287,260",4.24,"469,545",76.89,-6.74,
173,대웅제약,"141,000",0,0.00%,"2,500","16,337","11,587",7.28,"39,608",550.78,2.38,
174,PI첨단소재,"54,500",0,0.00%,500,"16,005","29,366",17.92,"77,476",29.32,15.62,
175,동원시스템즈,"62,100",200,-0.32%,"5,000","15,909","25,619",1.81,"82,412",29.52,10.97,
176,에스엘,"32,500","1,400",-4.13%,500,"15,666","48,203",16.73,"375,851",10.28,4.74,
177,프레스티지바이오파마,"25,900",450,-1.71%,0,"15,565","60,096",63.48,"217,759",-182.39,-1.78,
178,한미반도체,"31,400","2,200",+7.53%,200,"15,530","49,460",6.26,"889,978",20.93,21.03,
179,코스맥스,"136,000","4,000",+3.03%,500,"15,435","11,350",24.15,"107,366",31.51,6.23,
180,명신산업,"29,400",200,-0.68%,500,"15,426","52,470",2.30,"898,019",-12.75,-67.39,
181,롯데렌탈,"41,150","1,400",+3.52%,"5,000","15,075","36,634",1.13,"311,799",21.01,6.73,
182,솔루엠,"29,750",150,+0.51%,500,"14,877","50,006",8.69,"403,232",37.23,43.26,
183,롯데관광개발,"21,350",450,+2.15%,500,"14,790","69,276",6.81,"673,629",-9.46,-30.43,
184,F&F홀딩스,"37,600",700,+1.90%,500,"14,707","39,114",0.58,"136,076",0.28,16.59,
185,TIGER 단기통안채,"100,370",0,0.00%,0,"14,671","14,617",0.81,"30,457",N/A,N/A,
186,DL,"69,700",500,+0.72%,"5,000","14,606","20,956",13.92,"70,037",2.25,11.84,
187,롯데칠성,"157,000","2,000",+1.29%,500,"14,568","9,279",8.53,"33,393",63.95,-1.00,
188,코스모신소재,"48,250","1,500",+3.21%,"1,000","14,517","30,087",6.44,"2,085,764",76.47,7.16,
189,아이에스동서,"46,800",250,-0.53%,500,"14,458","30,893",4.55,"33,843",13.34,10.92,
190,KODEX 종합채권(AA-이상)액티브,"107,840",5,0.00%,0,"14,387","13,341",0.00,"23,285",N/A,N/A,
191,녹십자홀딩스,"30,550",500,+1.66%,500,"14,367","47,028",5.58,"497,970",9.42,19.74,
192,NHN,"72,300","1,600",+2.26%,500,"14,146","19,565",12.06,"78,010",64.55,1.35,
193,LG생활건강우,"670,000","7,000",+1.06%,"5,000","14,068","2,100",84.52,"3,700",14.07,N/A,
194,종근당,"120,500",500,+0.42%,"2,500","13,768","11,426",7.86,"26,864",16.18,17.88,
195,TIGER 미국나스닥100,"80,005","1,000",+1.27%,0,"13,761","17,200",0.01,"108,453",N/A,N/A,
196,대한유화,"210,500","3,500",+1.69%,"5,000","13,682","6,500",13.26,"47,320",5.89,6.93,
197,SK가스,"147,500",500,-0.34%,"5,000","13,615","9,230",7.05,"27,498",5.50,14.91,
198,롯데리츠,"5,560",10,-0.18%,500,"13,509","242,969",9.97,"341,445",70.38,1.68,
199,지누스,"85,000","3,700",+4.55%,500,"13,430","15,800",22.60,"333,511",35.51,11.61,
200,영풍,"722,000","10,000",+1.40%,"5,000","13,300","1,842",4.42,"2,711",8.67,4.03,
